qid,Len,Den,P7,P13
,b0437,proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases,"""624""",Q8
,b0438,ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease,"""1275""",Q8
,b0439,DNA-binding ATP-dependent protease La,"""2355""",Q8
,b0440,HU%2C DNA-binding transcriptional regulator%2C beta subunit,"""273""",Q8
,b0441,periplasmic folding chaperone%2C has an inactive PPIase domain,"""1872""",Q8
,b0442,conserved protein%2C ComEA homolog,"""372""",Q8
,b0443,long-chain acyl-CoA thioesterase III,"""399""",Q8
,b0444,7-cyano-7-deazaguanine %28preQ0%29 synthase%3B queuosine biosynthesis,"""696""",Q8
,b0445,putative transporter subunit: periplasmic-binding component of ABC superfamily,"""1701""",Q8
,b0446,thiamin pyrimidine pyrophosphate hydrolase%3B HMP-PP phosphatase,"""819""",Q8
,b0447,putative DNA-binding transcriptional regulator,"""459""",Q8
,b0448,fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components,"""1773""",Q8
,b0449,fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components,"""1782""",Q8
,b0451,ammonium transporter,"""1287""",Q8
,b0452,acyl-CoA thioesterase II,"""861""",Q8
,b0453,outer membrane lipoprotein,"""573""",Q8
,b0454,excision repair protein%2C alkyltransferase-like protein ATL,"""390""",Q8
,b0455,4.5S sRNA component of Signal Recognition Particle %28SRP%29,"""114""",Q8
,b0456,conserved protein%2C DUF1428 family,"""354""",Q8
,b0457,putative membrane-anchored cyclic-di-GMP phosphodiesterase,"""1551""",Q8
,b0458,inner membrane protein%2C DUF1449 family,"""471""",Q8
,b0459,maltose O-acetyltransferase,"""552""",Q8
,b0460,modulator of gene expression%2C with H-NS,"""219""",Q8
,b0461,Hha toxicity attenuator%3B conjugation-related protein,"""375""",Q8
,b0462,multidrug efflux system protein,"""3150""",Q8
,b0463,multidrug efflux system,"""1194""",Q8
,b0464,DNA-binding transcriptional repressor,"""648""",Q8
,b0465,mechanosensitive channel protein%2C intermediate conductance%2C K%2B regulated,"""3363""",Q8
,b0466,hypothetical protein,"""162""",Q8
,b0468,inner membrane protein%2C DUF454 family,"""378""",Q8
,b0467,primosomal replication protein N%27%27,"""528""",Q8
,b0469,adenine phosphoribosyltransferase,"""552""",Q8
,b0470,DNA polymerase III%2FDNA elongation factor III%2C tau and gamma subunits,"""1932""",Q8
,b0471,hypothetical protein,"""330""",Q8
,b0472,gap repair protein,"""606""",Q8
,b0473,protein refolding molecular co-chaperone Hsp90%2C Hsp70-dependent%3B heat-shock protein%3B ATPase,"""1875""",Q8
,b0474,adenylate kinase,"""645""",Q8
,b0475,ferrochelatase,"""963""",Q8
,b0476,acetyl esterase,"""960""",Q8
,b0477,inosine%2Fguanosine kinase,"""1305""",Q8
,b0478,putative transporter with NAD%28P%29-binding Rossmann-fold domain,"""1677""",Q8
,b0479,putative fosmidomycin efflux system,"""1221""",Q8
,b0480,bifunctional UDP-sugar hydrolase%2F5%27-nucleotidase,"""1653""",Q8
,b0481,hypothetical protein,"""480""",Q8
,b4585,sRNA antisense regulator of OM chitoporin ChiP%28YbfM%29%2C Hfq-dependent,"""84""",Q8
,b0482,conserved protein%2C TraB family,"""795""",Q8
,b0483,putative DNA-binding transcriptional regulator,"""342""",Q8
,b0484,copper transporter,"""2505""",Q8
,b0486,putative amino acid transporter,"""1293""",Q8
,b0487,DNA-binding transcriptional activator of copper-responsive regulon genes,"""408""",Q8
,b0489,multicopy suppressor of ftsH htpX double mutant%3B membrane-anchored predicted protease with C-terminal cytoplasmic PHB domain,"""918""",Q8
,b0490,putative transporter subunit: ATP-binding component of ABC superfamily,"""678""",Q8
,b0491,inner membrane protein%2C UPF0014 family,"""780""",Q8
,b0492,DnaK co-chaperone%2C thioredoxin-like protein,"""855""",Q8
,b0493,putative oxidoreductase with NAD%28P%29-binding Rossmann-fold domain,"""810""",Q8
,b0494,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,"""627""",Q8
,b0495,putative transporter subunit: ATP-binding component of ABC superfamily,"""687""",Q8
,b0496,putative ABC transporter permease,"""2415""",Q8
,b0497,rhsD element protein,"""4281""",Q8
,b0499,pseudo,"""708""",Q8
,b0501,pseudo,"""491""",Q8
,b0502,pseudo,"""422""",Q8
,b0503,tRNA 2-selenouridine synthase%2C selenophosphate-dependent,"""1095""",Q8
,b0504,DNA-binding transcriptional activator of the allD operon,"""927""",Q8
,b0505,ureidoglycolate hydrolase,"""483""",Q8
,b0506,DNA-binding transcriptional repressor for all %28allantoin%29 and gcl %28glyoxylate%29 operons%3B glyoxylate-induced,"""816""",Q8
,b0507,glyoxylate carboligase,"""1782""",Q8
,b0508,hydroxypyruvate isomerase,"""777""",Q8
,b0509,tartronate semialdehyde reductase%2C NADH-dependent,"""879""",Q8
,b0511,putative allantoin transporter,"""1455""",Q8
,b0512,allantoinase,"""1362""",Q8
,b0513,putative uracil%2Fxanthine transporter,"""1302""",Q8
,b0514,glycerate kinase II,"""1146""",Q8
,b0515,hypothetical protein,"""786""",Q8
,b0516,allantoate amidohydrolase,"""1236""",Q8
,b0517,ureidoglycolate dehydrogenase,"""1050""",Q8
,b0520,hypothetical protein,"""816""",Q8
,b0522,N5-carboxyaminoimidazole ribonucleotide synthase,"""1068""",Q8
,b0523,N5-carboxyaminoimidazole ribonucleotide mutase,"""510""",Q8
,b0524,UDP-2%2C3-diacylglucosamine pyrophosphatase,"""723""",Q8
,b0525,peptidyl-prolyl cis-trans isomerase B %28rotamase B%29,"""495""",Q8
,b0526,cysteinyl-tRNA synthetase,"""1386""",Q8
,b0527,inner membrane protein%2C DUF457 family,"""522""",Q8
,b0528,ribosome-associated protein%3B predicted RNA-binding protein,"""213""",Q8
,b0529,bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase%2F 5%2C10-methylene-tetrahydrofolate cyclohydrolase,"""867""",Q8
,b0530,putative fimbrial-like adhesin protein,"""543""",Q8
,b0532,putative outer membrane export usher protein,"""2604""",Q8
,b0533,putative fimbrial-like adhesin protein,"""984""",Q8
,b0535,putative DNA-binding transcriptional regulator,"""633""",Q8
,b0536,tRNA-Arg,"""77""",Q8
,b0537,DLP12 prophage%3B predicted integrase,"""1164""",Q8
,b4633,pseudo,"""222""",Q8
,b4508,pseudo,"""312""",Q8
,b0539,pseudo,"""279""",Q8
,b0540,IS3 transposase A,"""300""",Q8
,b0541,IS3 transposase B,"""867""",Q8
,b0542,pseudo,"""213""",Q8
,b0543,DLP12 prophage%3B multidrug resistance protein,"""333""",Q8
,b0544,DLP12 prophage%3B predicted recombinase,"""1527""",Q8
,b0545,DLP12 prophage%3B secreted protein%2C UPF0098 family,"""552""",Q8
,b0546,DLP12 prophage%3B predicted DNA-binding transcriptional regulator,"""798""",Q8
,b4588,hypothetical protein%2C DLP12 prophage,"""102""",Q8
,b0547,DLP12 prophage%3B putative protein,"""456""",Q8
,b0548,DLP12 prophage%3B conserved protein,"""171""",Q8
,b0551,DLP12 prophage%3B predicted antitermination protein,"""384""",Q8
,b4509,expressed protein%2C DLP12 prophage,"""141""",Q8
,b0552,IS5 transposase and trans-activator,"""1017""",Q8
,b0553,pseudo,"""1040""",Q8
,b0554,DLP12 prophage%3B predicted phage lysis protein,"""216""",Q8
,b0555,DLP12 prophage%3B predicted lysozyme,"""498""",Q8
,b0556,DLP12 prophage%3B predicted murein endopeptidase,"""462""",Q8
,b0557,DLP12 prophage%3B predicted lipoprotein,"""294""",Q8
,b0558,DLP12 prophage%3B putative protein,"""411""",Q8
,b0559,DLP12 prophage%3B putative protein,"""207""",Q8
,b4634,pseudo,"""309""",Q8
,b0560,DLP12 prophage%3B DNA packaging protein,"""546""",Q8
,b0561,pseudo,"""438""",Q8
,b0562,pseudo,"""655""",Q8
,b0563,pseudo,"""183""",Q8
,b0564,DNA-binding global transcriptional activator%3B DLP12 prophage,"""750""",Q8
,b0565,DLP12 prophage%3B outer membrane protease VII %28outer membrane protein 3b%29,"""954""",Q8
,b4635,pseudo,"""45""",Q8
,b0566,DNA-binding transcriptional activator of porin biosynthesis,"""762""",Q8
,b0567,hypothetical protein,"""891""",Q8
,b0568,bacteriophage N4 receptor%2C outer membrane subunit,"""2973""",Q8
,b0569,bacteriophage N4 receptor%2C inner membrane subunit,"""2238""",Q8
,b0570,sensory histidine kinase in two-component regulatory system with CusR%2C senses copper ions,"""1443""",Q8
,b0571,DNA-binding response regulator in two-component regulatory system with CusS,"""684""",Q8
,b0572,copper%2Fsilver efflux system%2C outer membrane component,"""1374""",Q8
,b0573,periplasmic copper- and silver-binding protein,"""333""",Q8
,b0574,copper%2Fsilver efflux system%2C membrane fusion protein,"""1224""",Q8
,b0575,copper%2Fsilver efflux system%2C membrane component,"""3144""",Q8
,b0576,phenylalanine transporter,"""1377""",Q8
,b0577,mechanosensitive channel protein%2C miniconductance,"""1248""",Q8
,b0578,dihydropteridine reductase%2C NAD%28P%29H-dependent%2C oxygen-insensitive,"""654""",Q8
,b0579,hypothetical protein,"""369""",Q8
,b0580,putative inner membrane protein,"""249""",Q8
,b0581,weak gamma-glutamyl:cysteine ligase,"""1119""",Q8
,b4415,toxic polypeptide%2C small,"""153""",Q8
,b4700,sRNA at remnant mokE%2FhokE locus,"""59""",Q8
,b0582,IS186 transposase,"""1113""",Q8
,b0583,phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex,"""621""",Q8
,b0584,iron-enterobactin outer membrane transporter,"""2241""",Q8
,b0585,enterobactin%2Fferric enterobactin esterase,"""1125""",Q8
,b0586,enterobactin synthase multienzyme complex component%2C ATP-dependent,"""3882""",Q8
,b4511,stimulator of EntF adenylation activity%2C MbtH-like,"""219""",Q8
,b0587,regulator of length of O-antigen component of lipopolysaccharide chains,"""1134""",Q8
,b0588,iron-enterobactin transporter subunit,"""816""",Q8
,b0589,iron-enterobactin transporter subunit,"""993""",Q8
,b0590,iron-enterobactin transporter subunit,"""1005""",Q8
,b0591,enterobactin exporter%2C iron-regulated,"""1251""",Q8
,b0592,iron-enterobactin transporter subunit,"""957""",Q8
,b0593,isochorismate synthase 1,"""1176""",Q8
,b0594,2%2C3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex,"""1611""",Q8
,b0596,2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase,"""747""",Q8
,b0597,thioesterase required for efficient enterobactin production,"""414""",Q8
,b0598,carbon starvation protein,"""2106""",Q8
,b4512,conserved protein%2C DUF466 family,"""198""",Q8
,b0599,putative oxidoreductase,"""1089""",Q8
,b0600,methionine aminotransferase%2C PLP-dependent,"""1161""",Q8
,b0601,hypothetical protein,"""630""",Q8
,b0602,hypothetical protein,"""1221""",Q8
,b0603,putative DNA-binding transcriptional regulator,"""903""",Q8
,b0604,thiol:disulfide interchange protein%2C periplasmic,"""747""",Q8
,b0605,alkyl hydroperoxide reductase%2C C22 subunit,"""564""",Q8
,b0606,alkyl hydroperoxide reductase%2C F52a subunit%2C FAD%2FNAD%28P%29-binding,"""1566""",Q8
,b0608,putative oxidoreductase%2C Zn-dependent and NAD%28P%29-binding,"""1239""",Q8
,b0607,universal stress protein UP12,"""429""",Q8
,b0610,regulator of nucleoside diphosphate kinase,"""411""",Q8
,b0611,ribonuclease I,"""807""",Q8
,b0612,citrate:succinate antiporter,"""1464""",Q8
,b0613,2-%285%27%27-triphosphoribosyl%29-3%27-dephosphocoenzyme-A synthase,"""879""",Q8
,b0614,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,"""552""",Q8
,b0615,citrate lyase%2C citrate-ACP transferase %28alpha%29 subunit,"""1533""",Q8
,b0616,citrate lyase%2C citryl-ACP lyase %28beta%29 subunit,"""909""",Q8
,b0618,%5Bcitrate %5Bpro-3S%5D-lyase%5D ligase,"""1059""",Q8
,b0619,sensory histidine kinase in two-component regulatory system with citB,"""1659""",Q8
,b0620,DNA-binding response regulator in two-component regulatory system with citA,"""681""",Q8
,b0621,anaerobic C4-dicarboxylate transport,"""1386""",Q8
,b0622,phospholipid:lipid A palmitoyltransferase,"""561""",Q8
,b0623,DNA-binding transcriptional repressor,"""210""",Q8
,b0624,putative fluoride exporter%3B inner membrane protein associated with chromosome condensation,"""384""",Q8
,b4581,pseudo,"""788""",Q8
,b0627,TatABCE protein translocation system subunit,"""204""",Q8
,b0628,lipoate synthase,"""966""",Q8
,b0629,putative DNA-binding transcriptional regulator,"""954""",Q8
,b0630,octanoyltransferase%3B octanoyl-%5BACP%5D:protein N-octanoyltransferase,"""642""",Q8
,b0631,conserved protein%2C UPF0250 family,"""264""",Q8
,b0632,D-alanyl-D-alanine carboxypeptidase %28penicillin-binding protein 5%29,"""1212""",Q8
,b0633,septal ring protein%2C suppressor of prc%2C minor lipoprotein,"""1089""",Q8
,b0634,cell wall shape-determining protein,"""1113""",Q8
,b0635,transpeptidase involved in peptidoglycan synthesis %28penicillin-binding protein 2%29,"""1902""",Q8
,b0637,ribosomal silencing factor,"""318""",Q8
,b0638,putative alpha-ribazole-5%27-P phosphatase,"""612""",Q8
,b0639,nicotinic acid mononucleotide adenylyltransferase%2C NAD%28P%29-dependent,"""642""",Q8
,b0640,DNA polymerase III%2C delta subunit,"""1032""",Q8
,b0641,LPS assembly OM complex LptDE%2C lipoprotein component,"""582""",Q8
,b0642,leucyl-tRNA synthetase,"""2583""",Q8
,b0643,conserved protein%2C DUF1451 family,"""483""",Q8
,b0644,hypothetical protein,"""978""",Q8
,b0645,hypothetical protein,"""708""",Q8
,b0646,putative co-chaperone,"""1428""",Q8
,b0647,conserved protein%2C Sel1 family,"""555""",Q8
,b0648,conserved protein%2C DUF1266 family,"""708""",Q8
,b0649,Hsc56 co-chaperone of HscC,"""1452""",Q8
,b0650,Hsp70 family chaperone Hsc62%2C binds to RpoD and inhibits transcription,"""1671""",Q8
,b0651,ribonucleoside hydrolase 1,"""936""",Q8
,b0654,glutamate%2C aspartate ABC transporter permease subunit,"""741""",Q8
,b0656,IS5 transposase and trans-activator,"""1017""",Q8
,b0657,apolipoprotein N-acyltransferase,"""1539""",Q8
,b0658,predicteed ion transport,"""879""",Q8
,b0659,metal-binding heat shock protein required for rRNA maturation,"""468""",Q8
,b0660,putative protein with nucleoside triphosphate hydrolase domain,"""1041""",Q8
,b0661,tRNA-i%286%29A37 methylthiotransferase,"""1425""",Q8
,b0662,2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol oxygenase,"""1176""",Q8
,b0664,tRNA-Gln,"""75""",Q8
,b0665,tRNA-Gln,"""75""",Q8
,b0666,tRNA-Met,"""77""",Q8
,b0668,tRNA-Gln,"""75""",Q8
,b0670,tRNA-Gln,"""75""",Q8
,b0672,tRNA-Leu,"""85""",Q8
,b0673,tRNA-Met,"""77""",Q8
,b0674,asparagine synthetase B,"""1665""",Q8
,b0675,UMP phosphatase,"""753""",Q8
,b0676,DNA-binding transcriptional dual regulator%2C repressor of N-acetylglucosamine,"""1221""",Q8
,b0677,N-acetylglucosamine-6-phosphate deacetylase,"""1149""",Q8
,b0678,glucosamine-6-phosphate deaminase,"""801""",Q8
,b0679,fused N-acetyl glucosamine specific PTS enzyme: IIC%2C IIB%2C and IIA components,"""1947""",Q8
,b0680,glutamyl-tRNA synthetase,"""1665""",Q8
,b0681,chitoporin%2C uptake of chitosugars,"""1407""",Q8
,b0682,putative lipoprotein induced by chitosugars,"""327""",Q8
,b0683,DNA-binding transcriptional dual regulator of siderophore biosynthesis and transport,"""447""",Q8
,b4637,ryhB-regulated fur leader peptide,"""87""",Q8
,b0684,flavodoxin 1,"""531""",Q8
,b0685,conserved protein%2C LexA-regulated,"""294""",Q8
,b0686,acyl-CoA esterase,"""765""",Q8
,b0687,regulatory protein for replication initiation,"""546""",Q8
,b0688,phosphoglucomutase,"""1641""",Q8
,b0689,lipoprotein,"""495""",Q8
,b0691,pseudo,"""651""",Q8
,b4636,pseudo,"""150""",Q8
,b0692,putrescine%2Fproton symporter: putrescine%2Fornithine antiporter,"""1320""",Q8
,b0693,ornithine decarboxylase isozyme%2C inducible,"""2199""",Q8
,b0694,DNA-binding response regulator in two-component regulatory system with KdpD,"""678""",Q8
,b0695,fused sensory histidine kinase in two-component regulatory system with KdpE: signal sensing protein,"""2685""",Q8
,b0696,potassium translocating ATPase%2C subunit C,"""573""",Q8
,b0697,potassium translocating ATPase%2C subunit B,"""2049""",Q8
,b0698,potassium translocating ATPase%2C subunit A,"""1674""",Q8
,b0699,hypothetical protein,"""207""",Q8
,b4513,potassium ion accessory transporter subunit,"""90""",Q8
,b0700,rhsC element core protein RshC,"""4194""",Q8
,b0703,pseudo,"""1521""",Q8
,b0704,hypothetical protein,"""570""",Q8
,b0707,conserved protein%2C DUF1722 family,"""510""",Q8
,b0708,deoxyribodipyrimidine photolyase%2C FAD-binding,"""1419""",Q8
,b0709,dipeptide and tripeptide permease D,"""1482""",Q8
,b0710,conserved metal-binding protein%2C NIF3 family,"""744""",Q8
,b0711,putative allophanate hydrolase%2C subunit 1,"""657""",Q8
,b0712,putative allophanate hydrolase%2C subunit 2,"""933""",Q8
,b0713,conserved protein%2C UPF0271 family,"""735""",Q8
,b0714,endonuclease VIII%2F 5-formyluracil%2F5-hydroxymethyluracil DNA glycosylase,"""792""",Q8
,b0715,regulator of aidB expression%3B inner membrane protein,"""1047""",Q8
,b0716,putative fimbrial-like adhesin protein,"""1062""",Q8
,b0717,putative periplasmic pilus chaperone,"""729""",Q8
,b0718,putative outer membrane protein,"""2448""",Q8
,b0720,citrate synthase,"""1284""",Q8
,b0721,succinate dehydrogenase%2C membrane subunit%2C binds cytochrome b556,"""390""",Q8
,b0723,succinate dehydrogenase%2C flavoprotein subunit,"""1767""",Q8
,b0724,succinate dehydrogenase%2C FeS subunit,"""717""",Q8
,b0726,2-oxoglutarate decarboxylase%2C thiamin-requiring,"""2802""",Q8
,b0727,dihydrolipoyltranssuccinase,"""1218""",Q8
,b0728,succinyl-CoA synthetase%2C beta subunit,"""1167""",Q8
,b0729,succinyl-CoA synthetase%2C NAD%28P%29-binding%2C alpha subunit,"""870""",Q8
,b0730,DNA-binding transcriptional dual regulator%2C fatty-acyl-binding,"""723""",Q8
,b0731,fused 2-O-a-mannosyl-D-glycerate specific PTS enzymes: IIA component%2FIIB component%2FIIC component,"""1977""",Q8
,b0732,alpha-mannosidase,"""2634""",Q8
,b0733,cytochrome d terminal oxidase%2C subunit I,"""1569""",Q8
,b0734,cytochrome d terminal oxidase%2C subunit II,"""1140""",Q8
,b0735,hypothetical protein,"""294""",Q8
,b0736,acyl-CoA thioesterase%2C involved in phospholipid metabolism,"""405""",Q8
,b0737,membrane spanning protein in TolA-TolQ-TolR complex,"""693""",Q8
,b0738,membrane spanning protein in TolA-TolQ-TolR complex,"""429""",Q8
,b0739,membrane anchored protein in TolA-TolQ-TolR complex,"""1266""",Q8
,b0740,periplasmic protein,"""1293""",Q8
,b0741,peptidoglycan-associated outer membrane lipoprotein,"""522""",Q8
,b0742,periplasmic TolA-binding protein,"""792""",Q8
,b0743,tRNA-Lys,"""76""",Q8
,b0744,tRNA-Val,"""76""",Q8
,b0745,tRNA-Lys,"""76""",Q8
,b0746,tRNA-Val,"""76""",Q8
,b0747,tRNA-Lys,"""76""",Q8
,b0748,tRNA-Lys,"""76""",Q8
,b0749,tRNA-Lys,"""76""",Q8
,b0750,quinolinate synthase%2C subunit A,"""1044""",Q8
,b0751,nicotinamide riboside transporter,"""720""",Q8
,b0752,zinc efflux system,"""942""",Q8
,b0753,hypothetical protein,"""381""",Q8
,b0754,3-deoxy-D-arabino-heptulosonate-7-phosphate synthase%2C phenylalanine repressible,"""1053""",Q8
,b0755,phosphoglyceromutase 1,"""753""",Q8
,b0756,galactose-1-epimerase %28mutarotase%29,"""1041""",Q8
,b0757,galactokinase,"""1149""",Q8
,b0758,galactose-1-phosphate uridylyltransferase,"""1047""",Q8
,b0759,UDP-galactose-4-epimerase,"""1017""",Q8
,b0760,fused molybdate transporter subunits of ABC superfamily: ATP-binding components,"""1473""",Q8
,b0761,DNA-binding transcriptional repressor for the molybdenum transport operon modABC,"""789""",Q8
,b0762,AcrAB-TolC efflux pump accessory protein%2C membrane-associated,"""150""",Q8
,b0763,molybdate transporter subunit,"""774""",Q8
,b0764,molybdate transporter subunit,"""690""",Q8
,b0765,molybdate transporter subunit,"""1059""",Q8
,b0766,pyridoxal phosphate %28PLP%29 phosphatase,"""819""",Q8
,b0767,6-phosphogluconolactonase,"""996""",Q8
,b0768,putative DNA-binding transcriptional regulator,"""954""",Q8
,b0769,hypothetical protein,"""1053""",Q8
,b0770,putative transporter,"""1434""",Q8
,b0771,putative hydratase,"""2262""",Q8
